author_id;publication_id
66;151669,140270,140266,139434,138813,138138,138105,138103,130819,129844,128028,121881,121874,121562,120436,119442,118117,118112,108323,108250,108248,107891
67;169994,149579,149578,135952,135949,135948,135668,128419,128233,119789,116757,115817,114410,113629,113551,108278
68;184110,181679,175928,175874,174508,173290,173345,165161,156036,149351,148127,146030,142981,142774,138649,138647,138644,137847,142775,142773,142768,142767,142764,134722,133991,126940,143167,142783,142776,122816,121601,121318,119376,117064,115710,143166,142989,142988,113347,113273,112928,107846,143173,143172,143171,143168,143163,142778,105033,105031,104466,96011,96006,96003,95985,95965,95386
69;177286,173265,172828,130416,129464,129438,124845,123274,119697,119299,115856,114070,113066,113065,110685,110621,110617,109864,109855,107416,107373,107372,103796,103795,99825
70;151470,149433,134151,134100,126352,106007,102432,102306,102302,102301,102300,102299,102298,102296
71;182071,176491,160754,149029,148891,135263,134633,134240,120283,116631,134241,134238,104121,101397,134242,100646,95038,100727
72;169993,156836,141428,128175,128174,126105,117484,112481,111988
73;174327,154481,136596,117740,108767,103823,103447,95774
74;186150,186643,184883,184637,182803,182797,182268,174647,174214,174210,173241,173240,166345,163175,167003,167002,154956,153473,148670,147377,147367,147359,144844,143799,142182,171287,171252,141717,140376,140205,140186,140120,135834,134504,171289,171259,171258,141705,134503,130191,114932,105989
75;184759,172847,160671,155825,152757,152255,152254,150491,148127,146949,145730,145122,143981,142774,138627,138554,138515,137616,137614,136774,136772,136771,136764,136749,136744,142775,142773,142767,142764,140203,133265,131697,131455,131430,131351,131155,131143,131138,130696,130526,130373,127163,123713,165786,123510,123343,120920,120833,120045,120039,120025,119873,119867,119260,119256,119251,116247,116218,116196,108518,101618,101604,101535,134366,96941
76;183565,182581,180664,173127,164995,154213,132832,132827,129029,128263,127801,127132,126315,126212,124505,122475,122401,122275,122272,121844,121744,114198,113411,113410,112627,112341,111947,111943,111071,111069,110780,138084,138083,105986,105984,105982,105981,103580,98852,98850,98152,93889,109421
77;176261,175622,152691,144811,143636,141557,140639,139791,139789,137669,133068,132052,121628,121589,117284,117117,116746,116744,116579
78;184881,183018,176381,170977,145601,145385,138495,137214,133270,128069,127769,127642,127641,127149,127772,125967,125932,117601,117600,114227,134145,127873,108096,107945,107944,124711,109087,106931,106869,107341,103804,103803,98405,98402,98285,116597,111089,114460,114459,114849,113864,113856
79;182790,175814,173664,172149,166898,166897,153944,147334,146526,142028,140781,138935,137334,136362,133746,131734,127915,127014,124757,127423,125558,121092,119745,117853,115770,111902,111082,110278,110277,106315,98656
80;187228,181954,168228,168225,167576,154581,154521,152919,152225,151799,151795,151794,151787,151785,151377,151316,148735,148733,148731,148730,144839,143801,142924,143603,140343,140311,140310,140181,140179,140178,134052,135388,135385,135382,129161,128760,128695,128435,134183,133215,133206,133176,133173,133172,132972,132954,129533,124408,123375,119132,118936,118933,117296,116165,115709,143056,119145,103582,143058,121679,121663,120084,104961,104885,104833,104705,104645,104640,103883,103668,103647,103631,103619,103611,103570,104905,104713,120089,120087
81;182090,184883,174214,147584,138831,132274,132271,131985,130679,130674,130278,120812,120807,120794,119767,119764,113075,124335,124330,104671,100761
82;156764,154116,144641,144184,143994,144131,139406,132125,129768,122219,121341,121003,120774,120770,118959,117151,115758,115597,114143,115593,112958,110419,109362,109361,108537,107102,107101,106557,103816,102392,100781,100579,99842,99798,99997,99996,99995,99994,99993,95943,95914
83;179768,172266,171892,160687,156858,156836,156827,153678,158805,149523,148175,141431,139468,138946,130174,129826,128338,128295,128175,128174,128169,126347,121785,121764,119156,118704,117866,117862,117484,116067,116065,112895,112930,111988,109731,108679,108665,108286,101545
84;160628,160626,160504,160384,160383,148553,148552,133695,129454,129453,129059,128503,128501,128497,128490,128000,126853,126845,126843,125627,125625,122743,122739,117955,117949,117935,110870,110863,103844
85;185620,184025,173712,166109,151069,148576,141197,141215,141002,140989,140424,140421,134331,131708,130384,129991,127537,127536,121606,117924,112264,113804,113163,112510,110233,108415,108398,101773,101772,99622,98031
86;155294,153546,138593,129568,128158,123243,116008,133469,134424,101518,134417,134414,134403
87;175984,169860,169113,164581,155334,149846,149367,148110,146100,144597,142433,140910,140363,133830,131481,130694,126834,123389,123386,120921,120601,120469,120454,117856,115867,114363,135023,115672,114361,106992
88;175141,177651,150079,177634
89;185505,184245,181575,181573,181571,180803,176435,175218,170320,167248,167245,160635,155686,155637,153687,150365,148686,147573,144927,144094,143995,139837,139371,139261,137721,137245,135249,135195,133537,132123,131034,130124,129280,129270,128982,125466,143979,121351,121350,121349,121342,120992,120971,120969,120958,120937,120928,119144,117389,116880,115590,115589,113271,107066,112262,111296,111295,111293,107557,107039,107035,106557,103079,102353,102352,102351,102344,102343,102260,102172,102171,100578,135082,101095,101094,101090,99523,98961,98827,96216,96331,95914,95816,95393,95304
90;176227,165411,157042,154056,148782,144464,141797,141796,139882,137322,163639,163504,130171,130169,129186,122440,122437,122388,113065,107416,107373,107372,103744,101019,100944
91;183359,174296,170291,166957,164520,164435,162596,162593,147001,145742,135823,133445,131798,125658,123740,121616,119685,113750,113879,113353
92;184254,184241,183610,183608,182878,182635,182220,181848,181847,181846,180335,179429,176096,175958,175293,174847,174835,174692,174682,174568,174465,174460,173989,166726,166724,166547,166395,166394,166392,166375,166373,166372,166293,166292,166287,166285,166211,155423,155314,153093,152610,149032,186863,154481,154474,148513,147170,146200,146181,145834,145775,143855,140728,140727,140036,139165,137864,137122,136694,136690,135972,149827,135574,134418,134416,131323,129941,129937,129936,129935,129927,129751,129733,129730,128544,128535,127436,127187,125591,127637,123416,120964,120952,120904,120890,120837,120829,120618,120617,120594,120567,120464,120339,120080,118850,118569,118567,118552,118548,117745,117735,115735,115728,109954,109943,109904,109900,109899,109783,109287,108778,108777,108739,108737,108731,108626,108616,108615,108612,108600,108598,106900,105502,105496,105490,103457,103450,102696,101634
