author_id;publication_id
268;185774,182396,182145,181582,167147,172726,167163,167323,166196,165358,163115,163017,156790,155789,155737,148865,153306,147998,147268,146301,130240,130197,128433,134790,118985,116560,95976,115102
269;138225
270;186455,186319,184103,183703,183266,183233,183165,183113,183054,182237,181683,174580,174112,173054,173032,173019,156384,147486,147616,130381,130377,128524,127516,126231,123158,119941,110640,105083,101530,95961
271;185827,185824,184753,177696,160729,147830,130871,124758,112882
272;185827,134790,124758,114378
273;186622,185824,184867,184753,177623,175660,175589,170202,167104,162254,160345,159221,155364,147830,140191,139600,139486,130897,122542,120639,114080,112882
274;180886,180423,177618,175660,170205,167090,160345,155478,147830,140191,137244,134796,120639,114080,112981,112882,124416
275;185905,181266,177687,160796,147830,137382,124758,112680,124302
276;177688,176431
277;185919,177692,124758
278;181214,181206,179345,172530,170262,170246,166673,166604,166603,166597,166596,166591,147266,144818,144779,137173,129052,118451
279;172318,166675,125452,111843
280;172318,169144,166683,166675,144818,144783,129052,128480,118451
281;148535,127998,126873
282;164661,139959,126850
283;164593,126872,120231,120127,110898
284;180901,165168,147243,131859,116215,109835,108488,108482,101526
285;180047,170511,164832,156726,152766,138429,138427,117788,116191,113981,101524
286;186555,186551,180021,175068,175065,147526,147524,147491,147490,131840,123301,119127,119121,118110,134338,101554,101527,105556
287;164483,91823
288;181822,180020,175947,174505,174500,173327,173293,173346,166970,165158,156695,154130,147802,126321,108785,95971,96164
289;186450,186319,180020,176897,176832,176831,174112,143751,140142,140113,138445,138417,129487,124685,101530,95962
290;180901,165168,147243,116215,109835,108488,108482
291;186927,185942,183655,182730,182708,180743,173383,173537,173535,173529,173082,173081,173068,172122,172115,172082,171863,164028,166369,166234,166231,163627,152313,148705,136876,136432,136398,118602
292;185239,163529,154095,136876,117796,109586,101522,96401,96400,96399,95842
293;180045,170888,165316,155332,149850,124995,116220
294;164918,164917,152795,152791,101603
295;173707,170082,169108,168124,115826
296;168209,160303,123344
297;184177,184193,180132,174905,174533,174532,174468,170369,168583,168205,166785,166767,166764,166763,164817,162967,162658,156892,141094,147243,146057,134287,118165,101548,96400,91831
298;166717,149311,138628
299;183580,168197,160750,157167,140673,140199,131147,127176,126484,123344,116245,109823
300;154412,131860,124995,154405,119483,91799
301;168269,165069,140574,123658,119019,116206,98475
302;177128,173734,171914,165022,146983,143328,138516,102895,100524,179615,178885
303;180871,143600,119003
304;181702,165022,143326,139864,139324,118334,116787,110197
305;183460,180967,176260,174441,173257,171369,170040,169731,164871,163661,135445,127852,157363,157365,109863
306;171914,171927,168890,164256,162645,157393,163218,161187,143525,154806,117826
307;176198,175144,171914,168907,161005
309;169321,168605,168513,157379,145546,109764
310;185060,185043,182358,176196,168639,168605,167421,160815,110305,109764,102885
311;150919,150923
312;150918
313;171887,154006
314;93596,150980
315;182870,174083,154570,151526,151537,150967
317;109821,100466
318;181591,180424,185306,165022,160570,134665,102919,100476,100466
